theme,theme_libelle,etoiles_defaut,critere_colonne,critere_libelle,fichier_source,sens,poids,transform,imputation,note
transport,Transport vers Lille,5,meilleur_temps_vers_lille_min,Meilleur trajet alternatif a la voiture integrale,transport_communes_candidates.csv,inverser,7,aucune,mediane,park & ride TER inclus ; 0 NaN
transport,Transport vers Lille,5,ratio_alternatif_vs_voiture,Dependance a la voiture,transport_communes_candidates.csv,inverser,4,winsor_p95,mediane,meilleur trajet alternatif / temps voiture
transport,Transport vers Lille,5,part_actifs_tc_pct_2022,Part des actifs qui prennent deja le TC,dynamiques_communes_candidates.csv,normal,4,log,0,"RP 2022 (mesure, pas modele) ; valide le pilier (r=0,53 avec le score)"
transport,Transport vers Lille,5,trains_arr_lille_matin,Trains directs arrivant a Lille le matin,transport_communes_candidates.csv,normal,5,winsor_p95,0,frequence a la pointe (05h30-09h30)
transport,Transport vers Lille,5,cout_mensuel_meilleur_mode_eur,Cout mensuel du meilleur mode,transport_communes_candidates.csv,inverser,3,winsor_p95,mediane,abo TER/Ilevia net du remboursement 50%
transport,Transport vers Lille,5,indice_congestion,Congestion aux heures de pointe,bouchons_communes_lille.csv,inverser,4,winsor_p95,mediane,pointe / fluide (TomTom)
transport,Transport vers Lille,5,acces_gare_proche_moy_min,Acces a une gare TER,transport_communes_candidates.csv,inverser,3,winsor_p95,mediane,temps routier moyen (BPE)
transport,Transport vers Lille,5,cyclable_util_km_1000hab,Reseau cyclable utilitaire,cyclable_communes_candidates.csv,normal,3,log,0,km / 1000 hab (Ecolab/Geovelo 2025)
sante,Santé,3,apl_mg_m65,Acces aux medecins generalistes (<= 65 ans),sante_communes_candidates.csv,normal,7,aucune,mediane,APL DREES 2024
sante,Santé,3,apl_dent,Acces aux chirurgiens-dentistes,sante_communes_candidates.csv,normal,4,aucune,mediane,APL DREES 2024 (profession la plus tendue)
sante,Santé,3,acces_urgences_moy_min,Temps d'acces aux urgences,sante_communes_candidates.csv,inverser,5,winsor_p95,mediane,BPE 2025
sante,Santé,3,acces_maternite_moy_min,Temps d'acces a une maternite,sante_communes_candidates.csv,inverser,3,winsor_p95,mediane,BPE 2025
education,Éducation & petite enfance,3,couverture_petite_enfance_epci,Couverture petite enfance,education_communes_candidates.csv,normal,6,aucune,mediane,"CNAF 2023, tous modes, niveau EPCI"
education,Éducation & petite enfance,3,acces_college_moy_min,Temps d'acces a un college,education_communes_candidates.csv,inverser,5,winsor_p95,mediane,BPE 2025
education,Éducation & petite enfance,3,acces_lycee_moy_min,Temps d'acces a un lycee,education_communes_candidates.csv,inverser,4,winsor_p95,mediane,BPE 2025
